nps_score	checkin_date	checkout_date	created_at	source	order_id	hotel_name	pod_type	nps_review	nps_review_en
8	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 5:07:52	Android	10271686300018861	Bobocabin Padusan	DELUXE CABIN	Bagus hanya saja akses jalan di bobocabin yg bergeronjal. Dan di depan teras yg material nya batu sehingga sakit di kaki ketika berjalan. Kebetulan saya tidak memakai sandal yg empuk.	It's good it's just that the road access in Bobocabin is surging. And in front of the terrace which is a stone so it hurts in the foot when walking. Incidentally I don't wear soft sandals.
9	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 5:05:51	iOS	10241685930798961	Bobocabin Puncak Gunung Mas	Deluxe Cabin	Sayang kamar mandinya ada bau kurang sedap, sisanya oke..	Unfortunately the bathroom has a bad odor, the rest is okay ..
7	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 5:05:23	Android	10111686417577254	Bobobox Tanah Abang	SKY DOUBLE	Nyaman bersih rapi	Comfortable clean neatly
6	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 5:03:19	iOS	10211685898164041	Bobobox Alun-Alun Malang	Sky Double	there a lot of stain on bedsheet	there a lot of stain on bedsheet
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 5:01:48	Android	10251683022652416	Bobocabin Coban Rondo Malang	EXECUTIVE CABIN	Best view	Best view
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 4:58:44	Android	10251686312740740	Bobocabin Coban Rondo Malang	DELUXE CABIN WITH VIEW	The best	The best
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 4:58:13	Android	10251686312740740	Bobocabin Coban Rondo Malang	DELUXE CABIN WITH VIEW	The best	The best
8	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 4:57:32	Android	10241685595441164	Bobocabin Puncak Gunung Mas	DELUXE CABIN	Air hangatnya di bykin, jendelanya benerin, sediain galon, speakernya kurang gede suaranya dan tolong sediain tv	The warm water is in Bykin, the window is correct, the gallon, the speakers are not big enough and please provide a TV
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 4:56:45	Android	10251686312740740	Bobocabin Coban Rondo Malang	DELUXE CABIN WITH VIEW	The best	The best
8	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 4:54:50	Android	10211686064243206	Bobobox Alun-Alun Malang	SKY SINGLE	Tempat yg cukup nyaman dan memberikan pengalaman baru dengan modernisasinya	A place that is quite comfortable and provides new experiences with its modernization
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 4:54:22	Android	10141686322134340	Bobobox Slamet Riyadi Solo	SKY DOUBLE	Seruu	Exclaimed
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 4:52:06	iOS	10061686230460123	Bobobox Kebayoran Baru	Earth Single	Nyaman	Comfortable
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 4:48:59	Android	10261686094149664	Bobocabin Baturraden	EXECUTIVE CABIN	Mantaabbbbb	Mantaabbbbb
8	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 4:47:42	iOS	10241685700259222	Bobocabin Puncak Gunung Mas	Deluxe Cabin	Kurang luas kamar nyaa,,, tp okelaah	The room is not wide ,,, but okelaah
7	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 4:46:48	Android	10201686390819761	Bobocabin Signature Toba	DELUXE CABIN	U	IN
9	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 4:46:43	Android	10271686306575588	Bobocabin Padusan	DELUXE CABIN	Thanks all the best	Thanks all the best
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 4:37:39	iOS	10061686365801876	Bobobox Kebayoran Baru	Sky Double	Good	Good
8	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 4:36:59	Android	10241685971898952	Bobocabin Puncak Gunung Mas	DELUXE CABIN	Next harga room include dgn breakfast... Asli keren pas wkt mlm dingin banget. Segera buka tempat minum kopi... Caffe.... sukses selalu...	Next the price of room includes with breakfast ... original cool when it's really cold. Immediately open a place to drink coffee ... caffe .... always success ...
8	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 4:35:01	Android	10351686307965539	Bobocabin Madasari Pangandaran	EXECUTIVE CABIN	Untuk cabinnya nyaman, indah, view langsung ke pantai cuman kurang penerangan mulai dari gerbang masuk	For the cabin is comfortable, beautiful, view directly to the beach, just lack lighting starting from the entrance gate
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 4:30:18	iOS	10031686322389456	Bobobox Dago	Sky Double	As always i choose bobobox 	As always i choose bobobox 
8	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 4:29:22	iOS	10241684153341493	Bobocabin Puncak Gunung Mas	Deluxe Cabin	Staycation disini menyenangkan, bbq oke, petugasnya baik dan ramah, view di cabin 4 tidak mengecewakan. Cuma jaringan kurang bagus dan wifi putus nyambung. Selain itu udah oke banget. Kalo pake springbed dan water heaternya bisa tahan lama much better. Sarannya di tempat sampah dikasih plastik biar lebih higienis dan yang bersihin gampang. Next time bisa kesini lagi	Staycation here is fun, BBQ is okay, the officers are good and friendly, the view in Cabin 4 does not disappoint. Only the network is not good and wifi breaks up. Besides that, it's really okay. If you use springbed and the water heater can be durable Much better. The advice is in the trash can be given plastic so that it is more hygienic and cleaning is easy. Next time can come here again
10	2023-05-18 0:00:00	2023-05-19 0:00:00	2023-06-11 4:29:02	Android	10081684395155580	Bobobox Kota Tua	SKY DOUBLE	Good	Good
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 4:28:42	Android	10081686240036281	Bobobox Kota Tua	SKY DOUBLE	Good	Good
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 4:25:54	iOS	1.00717E+16	Bobobox Alun-Alun Bandung	Sky Double	really enjoy the trip	really enjoy the trip
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 4:23:11	iOS	10091686395493765	Bobobox Kota Lama	Earth Double	pelayanan ramah, toilet juga bersih, recomend kalo mau nginep di semarang	friendly service, toilet is also clean, recommended if you want to stay in Semarang
9	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 4:18:46	iOS	10241685442913540	Bobocabin Puncak Gunung Mas	Executive Cabin	Nyaman unutk kamu mager, susannya enak buat healing. Tp yg kurang gak ad kopi sma lemari pendingin aja sii. So far, all good.	Comfortable for you mager, Susan is good for healing. But the lack of coffee is just a high school refrigerator. So far, all good.
0	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 3:59:41	iOS	10231686380023954	Bobocabin Kintamani 	Deluxe Cabin	Messed up lighting system, cant off properly. Door lock not working properly. Not worth the price 	Messed up lighting system, cant off properly. Door lock not working properly. Not worth the price 
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 3:57:06	Android	10031686367761648	Bobobox Dago	EARTH DOUBLE	Ok	Ok
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 3:56:01	iOS	10001686321797041	Bobobox Paskal	Earth Double	Aku suka lampu dan teknologinya Cuman agak bau aja kamarnya But sofar ok	I like lights and technology Just a little smelling the room But sofar ok
7	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 3:53:51	Android	10001686408812670	Bobobox Paskal	SKY DOUBLE	Bau	Smell
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 3:52:27	Android	10241684050638754	Bobocabin Puncak Gunung Mas	DELUXE CABIN	Perlu di tambahkan sendok untuk nagdum teh di setiap cabin	Need to add a spoon to nagdum tea in each cabin
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 3:37:19	Android	1.01317E+16	Bobobox Malioboro	EARTH DOUBLE	Good service	Good service
8	2023-06-09 23:00:00	2023-06-10 23:00:00	2023-06-11 3:33:11	iOS	10231686380884863	Bobocabin Kintamani 	Deluxe Cabin Hot Tub	Hot Tub di Cabin no 2 tidak bisa digunakan. Mohon diperbaiki	Hot Tub in Cabin No. 2 cannot be used. Please fix it
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 3:25:42	iOS	10351686280752605	Bobocabin Madasari Pangandaran	Deluxe Cabin	Love in place,,amazing,,	Love in place,,amazing,,
8	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 3:24:51	iOS	10191682503935953	Bobocabin Cikole	Executive Cabin	Bed material is itchy	Bed material is itchy
9	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 3:15:39	Android	10061686387144815	Bobobox Kebayoran Baru	SKY DOUBLE	Tidak diberikan air minum	Not given drinking water
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 2:59:00	iOS	10061686405265382	Bobobox Kebayoran Baru	Sky Double	Ok	Ok
8	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 2:53:46	iOS	10141686073019351	Bobobox Slamet Riyadi Solo	Earth Double	Toilet can be cleaner especially the shower room walls Music in the common area was played loudly until 12am, door of the pods area were open too so it was a bit noisy from inside Thankfully the host was very prompt and turned the music off immediately A bit of time to wait for the hot water  Overall it was a pleasant stay, comfy bed and pillow. Clean pod The whole area smells nice	Toilet can be cleaner especially the shower room walls Music in the common area was played loudly until 12am, door of the pods area were open too so it was a bit noisy from inside Thankfully the host was very prompt and turned the music off immediately A bit of time to wait for the hot water  Overall it was a pleasant stay, comfy bed and pillow. Clean pod The whole area smells nice
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 2:44:45	Android	10121686209816196	Bobobox Juanda Jakarta	EARTH DOUBLE	Thank you	Thank you
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 2:39:10	Android	10231686361237962	Bobocabin Kintamani 	DELUXE CABIN	Semoga aksesnya diperbaiki. Selebihnya sudah oke banget. Ga ada masalah dengan insects..masih bearable😊	Hopefully the access is improved. The rest is really okay. There is no problem with insects ... still bearable😊
9	2023-06-09 0:00:00	2023-06-11 0:00:00	2023-06-11 2:24:28	iOS	10221684290521159	Bobobox ITC Kuningan	Sky Double	Bed abit dusty  Toilet is clean Location is good, near to lotte mall Will come back again	Bed abit dusty  Toilet is clean Location is good, near to lotte mall Will come back again
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 2:06:35	Android	10061686403384809	Bobobox Kebayoran Baru	SKY DOUBLE	Best	Best
10	2023-06-09 0:00:00	2023-06-10 0:00:00	2023-06-11 1:05:24	Android	10271686239131178	Bobocabin Padusan	EXECUTIVE CABIN	Nice facilities	Nice facilities
8	2023-06-02 0:00:00	2023-06-03 0:00:00	2023-06-10 22:18:21	iOS	10041685678068393	Bobobox Pancoran	Earth Double	1. Toiletnya bnyak yg rusak 2. Kasur kurang empuk	1. The toilet is a lot of broken 2. The mattress is less soft
9	2023-05-27 0:00:00	2023-05-28 0:00:00	2023-06-10 16:01:01	Android	10141685174589477	Bobobox Slamet Riyadi Solo	EARTH DOUBLE	Terimakasih	Thank You
10	2023-06-02 0:00:00	2023-06-03 0:00:00	2023-06-10 14:36:55	iOS	10231684599354359	Bobocabin Kintamani 	Deluxe Cabin	nature and chill. recommended staycation @kintamani bali	nature and chill. recommended staycation @kintamani bali
10	2023-06-09 0:00:00	2023-06-10 0:00:00	2023-06-10 12:51:47	Android	10171685784999473	Bobocabin Ranca Upas	STANDARD CABIN	Good, nyaman	Good, comfortable
10	2023-06-09 0:00:00	2023-06-10 0:00:00	2023-06-10 10:38:19	Android	10331686285468138	Bobocabin Ubud	DELUXE CABIN	Semuananya keren	All of them are cool
10	2023-06-09 0:00:00	2023-06-10 0:00:00	2023-06-10 9:56:16	iOS	10331686272080369	Bobocabin Ubud	Executive Cabin	Swift response, clean, and comfort	Swift response, clean, and comfort
9	2023-06-09 0:00:00	2023-06-10 0:00:00	2023-06-10 9:14:43	iOS	10001686297653520	Bobobox Paskal	Earth Double	first time nyoba bobobox ini. cocok buat istirahat sebentar, cm agak gak nyaman aja sama yg tidur diatas karena kalau gerak bunyi hihi so far good	First time tried this Bobobox. suitable for a short break, cm is a bit uncomfortable with the one who sleeps above because if the sound hihi so far good
7	2023-05-10 0:00:00	2023-05-11 0:00:00	2023-06-10 7:58:37	iOS	10041683702934908	Bobobox Pancoran	Earth Double	Tolong ya toilet lakilaki nya diperbaiki. Masa cmn 1 yang bisa dipake :(	Please improve the toilet toilet. CMN 1 period that can be used :(
10	2023-06-09 0:00:00	2023-06-10 0:00:00	2023-06-10 6:41:19	iOS	10331686272080369	Bobocabin Ubud	Executive Cabin	Pelayanan responsif	Responsive service
9	2023-06-09 0:00:00	2023-06-10 0:00:00	2023-06-10 5:50:59	Android	10121686274127747	Bobobox Juanda Jakarta	SKY DOUBLE	Mantapp pelayanannya oke, extend sampe seminggu bisa ganti kamar klo sudah kotor. Next ada dinas luar lagi bakal pake bobobox juanda 👍🏻	Mantapp the service is okay, extend until a week can change the room if it's dirty. Next, there is an outside service, you will use Bobobox Juanda 👍🏻
10	2023-06-09 0:00:00	2023-06-10 0:00:00	2023-06-10 5:31:39	Android	10121686215021476	Bobobox Juanda Jakarta	EARTH DOUBLE	Pelayanan ramah bgt. Kasurnya nyaman bikin betah lama2 di pod 😁😁😁 makanya tiap ke jakarta pasti selalu pilih bobobox juanda. Udah top	BGT friendly service. The mattress is comfortable to make you feel at home for a long time on the pod 😁😁😁 so every time you go to Jakarta, you always choose Bobobox Juanda. Already top
9	2023-06-09 0:00:00	2023-06-10 0:00:00	2023-06-10 5:05:12	Android	10271686212783988	Bobocabin Padusan	DELUXE CABIN	Good, but stock makanan jangan sampai sold out lagi yaa Terimakasihhhhhhhhhhhhhhh	Good, but food stock do not be sold out again Thank youhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
3	2023-06-09 0:00:00	2023-06-10 0:00:00	2023-06-10 5:01:38	Android	10211686312217177	Bobobox Alun-Alun Malang	SKY DOUBLE	disuruh bayar charge padahal nodanya bukan kesalahan saya	told to pay charge even though the stain is not my fault
8	2023-06-09 0:00:00	2023-06-10 0:00:00	2023-06-10 4:55:06	iOS	10141686212886547	Bobobox Slamet Riyadi Solo	Earth Double	AC nya kurang dingin	The air conditioner is not cold
10	2023-06-09 0:00:00	2023-06-10 0:00:00	2023-06-10 4:46:23	iOS	10191686284889870	Bobocabin Cikole	Deluxe Cabin	Everything nice	Everything nice
10	2023-06-08 0:00:00	2023-06-10 0:00:00	2023-06-10 4:45:08	Android	10221685098404432	Bobobox ITC Kuningan	SKY SINGLE	Reccomend buat yg mau bisnis trip👍 thank's  for stay best exeperince bobobox ITC	Recctern for those who want a business trip. Thank's for staying best Exeperince Bobobox ITC
9	2023-06-09 0:00:00	2023-06-10 0:00:00	2023-06-10 4:41:05	iOS	10141686217785954	Bobobox Slamet Riyadi Solo	Earth Double	di bobobox emang ternyaman, bersih bgt semuanya, gercep juga hostnya kalo misal kita need something, cuman sayangnya semalem tidurku kurang nyenyak, soalnya pod atasku berisik, tapi bobobox tetep best	In Bobobox it is really comfortable, it's really clean, the host is also the host if for example we need something, only unfortunately I sleep last night, because the pod on me is noisy, but Bobobox is still the best
10	2023-06-09 0:00:00	2023-06-10 0:00:00	2023-06-10 4:41:02	Android	10271686215668115	Bobocabin Padusan	DELUXE CABIN	Tempat nyaman, staff ramah, bersih	Comfortable place, friendly staff, clean
10	2023-06-09 0:00:00	2023-06-10 0:00:00	2023-06-10 4:40:13	iOS	10111686298020646	Bobobox Tanah Abang	Sky Single	Thankyou	Thankyou
10	2023-06-09 0:00:00	2023-06-10 0:00:00	2023-06-10 4:35:03	Android	10061686336391410	Bobobox Kebayoran Baru	SKY DOUBLE	Goof	Goof
7	2023-06-09 0:00:00	2023-06-10 0:00:00	2023-06-10 4:32:35	Android	10241686270487535	Bobocabin Puncak Gunung Mas	EXECUTIVE CABIN	Dicek fungsi fasilitas ruangan, kamar mandi tidak mengunci	Checked the function of the room facilities, the bathroom does not lock
10	2023-06-09 0:00:00	2023-06-10 0:00:00	2023-06-10 4:30:30	iOS	10271686049679846	Bobocabin Padusan	Deluxe Cabin	Niceee 9,5/10	Niceee 9,5/10
10	2023-06-09 0:00:00	2023-06-10 0:00:00	2023-06-10 4:28:50	iOS	10221686196607772	Bobobox ITC Kuningan	Earth Double	ok	ok
10	2023-06-07 0:00:00	2023-06-10 0:00:00	2023-06-10 4:22:18	iOS	10221684545396835	Bobobox ITC Kuningan	Earth Single	ok	ok
10	2023-06-08 23:00:00	2023-06-09 23:00:00	2023-06-10 4:11:52	iOS	10331686193216909	Bobocabin Ubud	Deluxe Cabin Hot Tub	sangat recommended, staff dan service baikk	Very Recommended, Staff and Service Good
10	2023-06-08 23:00:00	2023-06-09 23:00:00	2023-06-10 4:09:21	iOS	10231686236666376	Bobocabin Kintamani 	Deluxe Cabin Hot Tub	Very nice hot tub. Amazing cabin. Very modern. Comfortable even for a City person.	Very nice hot tub. Amazing cabin. Very modern. Comfortable even for a City person.
9	2023-06-09 0:00:00	2023-06-10 0:00:00	2023-06-10 3:58:26	Android	10271686133598555	Bobocabin Padusan	EXECUTIVE CABIN	Saya menikmati pemandangan tempat saya biasa camping fengan fasilitas lebih modern dan nyaman	I enjoy the view where I usually camping fengan more modern and comfortable facilities
10	2023-06-09 0:00:00	2023-06-10 0:00:00	2023-06-10 3:38:50	Android	10211686327923873	Bobobox Alun-Alun Malang	SKY DOUBLE	ok bgt	ok bgt
7	2023-06-09 0:00:00	2023-06-10 0:00:00	2023-06-10 3:34:28	iOS	10171686192902050	Bobocabin Ranca Upas	Standard Cabin	lebih banyak kamar mandi/toilet	more bathrooms/toilets
8	2023-05-20 0:00:00	2023-05-21 0:00:00	2023-06-10 3:34:11	Android	10141684570743707	Bobobox Slamet Riyadi Solo	SKY DOUBLE	fasilitas nya cukup bagus tapi pelayanan nya kurang ramah	the facilities are quite good but the service is not friendly
10	2023-06-08 0:00:00	2023-06-10 0:00:00	2023-06-10 3:30:41	iOS	10351685596195761	Bobocabin Madasari Pangandaran	Deluxe Cabin	Recomended dengan privat beach.	Recommended with private beach.
10	2023-06-08 23:00:00	2023-06-09 23:00:00	2023-06-10 2:55:15	iOS	10231683620401961	Bobocabin Kintamani 	Deluxe Cabin	SUPER KEREN PENGALAMANNYA! Pemandangannya bagus banget. Service lengkap dan cepat. Thank you.	Super cool experience! The view is really good. Complete and fast service. Thank you.
10	2023-06-08 23:00:00	2023-06-09 23:00:00	2023-06-10 2:54:15	iOS	10231683620255915	Bobocabin Kintamani 	Deluxe Cabin Hot Tub	Service keren! Semua yang kita request bisa disediakan dan dengan cepat! Pemandangannya bukan kaleng kaleng, JUARA BANGETTTTTTT!!! Thank you ya for this super great experience!	Cool Service! Everything we request can be provided and quickly! The view is not a can, champion really !!! Thank you for this super great experience!
10	2023-06-09 0:00:00	2023-06-10 0:00:00	2023-06-10 2:44:20	iOS	10091686344678420	Bobobox Kota Lama	Earth Double	Good	Good
10	2023-06-09 0:00:00	2023-06-10 0:00:00	2023-06-10 2:43:06	iOS	10171685279897882	Bobocabin Ranca Upas	Deluxe Cabin 	Good place	Good place
8	2023-06-09 0:00:00	2023-06-10 0:00:00	2023-06-10 1:01:18	Android	10191685543252649	Bobocabin Cikole	DELUXE CABIN	Good place	Good place
10	2023-06-09 0:00:00	2023-06-10 0:00:00	2023-06-10 0:27:46	Android	10331681481898111	Bobocabin Ubud	DELUXE CABIN	Everything was nice, thanks	Everything was nice, thanks
8	2023-05-28 0:00:00	2023-05-29 0:00:00	2023-06-09 23:40:54	Android	10261685249180323	Bobocabin Baturraden	DELUXE CABIN	Only need to check the quality of the Wifi connection since to open the room door has to open the Barcode from the Bob's Application and we faced couples of trouble to open the room due to network/wifi connection is too weak and had to walk down to front desk and walk up again, it was hectic and definitely not comfortable. Thank you	Only need to check the quality of the Wifi connection since to open the room door has to open the Barcode from the Bob's Application and we faced couples of trouble to open the room due to network/wifi connection is too weak and had to walk down to front desk and walk up again, it was hectic and definitely not comfortable. Thank you
10	2023-05-17 0:00:00	2023-05-18 0:00:00	2023-06-09 22:24:34	iOS	10001684286806560	Bobobox Paskal	Earth Double	enjoy	enjoy
10	2023-06-08 0:00:00	2023-06-09 0:00:00	2023-06-09 15:42:16	iOS	10241686071924651	Bobocabin Puncak Gunung Mas	Deluxe Cabin	sesuai pesaanan minta kamar view gunung langsung dikasih, liburan yg seru dibobocabin bisa memanjakan mata. makasih bobocabin	In accordance with the message asking for a mountain view room immediately given, the exciting vacation in the dibobocabin can spoil the eyes. Thanks Bobocabin
10	2023-06-08 0:00:00	2023-06-09 0:00:00	2023-06-09 15:17:14	Android	10181686214821179	Bobobox Mega Bekasi	SKY SINGLE	Oke	Boundary
10	2023-05-12 0:00:00	2023-05-13 0:00:00	2023-06-09 13:57:20	Android	10071683736769926	Bobobox Alun-Alun Bandung	SKY DOUBLE	Happy	Happy
10	2023-06-08 0:00:00	2023-06-09 0:00:00	2023-06-09 13:20:10	iOS	10121686187846480	Bobobox Juanda Jakarta	Sky Single	Good	Good
10	2023-05-16 0:00:00	2023-05-17 0:00:00	2023-06-09 12:20:09	Android	10271683794478537	Bobocabin Padusan	DELUXE CABIN	Good	Good
10	2023-05-27 0:00:00	2023-05-28 0:00:00	2023-06-09 12:11:50	iOS	10111685166652802	Bobobox Tanah Abang	Earth Double	Mntp	Mnsep
10	2023-06-08 0:00:00	2023-06-09 0:00:00	2023-06-09 12:03:06	Android	10221686197540522	Bobobox ITC Kuningan	SKY SINGLE	Service at the reception desk to customers is very helpful, easy to understand and friendly. The mushalla facilities are very clean and comfortable. Clean restrooms. Highly recommended for a quiet and comfortable stay	Service at the reception desk to customers is very helpful, easy to understand and friendly. The mushalla facilities are very clean and comfortable. Clean restrooms. Highly recommended for a quiet and comfortable stay
8	2023-06-08 0:00:00	2023-06-09 0:00:00	2023-06-09 11:21:50	iOS	10241686196478490	Bobocabin Puncak Gunung Mas	Deluxe Cabin	Matras terlalu keras for me, harusnya ada matras protector yah supaya bisa more comfy	The mattress is too hard for me, there should be a protector mattress so that it can be more comfy
10	2023-06-04 0:00:00	2023-06-09 0:00:00	2023-06-09 10:29:54	Android	10221685873226406	Bobobox ITC Kuningan	SKY DOUBLE	Enjoyed my stay but experienced power failure a few times.	Enjoyed my stay but experienced power failure a few times.
8	2023-05-13 0:00:00	2023-05-14 0:00:00	2023-06-09 10:28:34	Android	10241682562596986	Bobocabin Puncak Gunung Mas	DELUXE CABIN	Kurang nyaman karena banyak sela sela pintu dan cendela yang terbuka sehingga memungkinkan sekali serangga masuk ke dalam cabin	Less comfortable because there are many between the doors and the window that is open so that it allows the insects to enter the cabin
