source,review_id,user_name,review_title,review_description,review_description_en,rating,thumbs_up,review_date,review_sentiment
Google Play,878c8b5d-5759-4496-b6b7-5d63e759d122,Tevi Andrian,,"Freeze di Samsung galaxy a14, tidak bisa login","Freeze on Samsung Galaxy A14, can't log in",1,0,2023-04-29 12:12:44,Negatif
Google Play,eacb6e3e-1bcb-4541-9e1a-6f893fd170f1,Caesar Tarigan,,"aplikasi OK, cuman sempat sering relogin saja..","OK application, just have often relelogin ..",5,0,2023-04-27 10:48:33,Positif
Google Play,bb140631-8ed1-4c44-b847-4793cdbf87b7,Samsul Fadli,,good,Good,4,0,2023-04-22 11:31:01,Negatif
Google Play,4e1060b8-1efe-4f74-b12b-986df2cb773e,Ari Abdan,,"sendalnya dduh merepotkan, fasilitas lain mah ok sih dg rate segitu","the sandals are troublesome, other facilities are ok with that rate",4,0,2023-04-14 10:23:41,Negatif
Google Play,2ecc528f-8080-4f26-ad14-668f68a00b43,Chirapas [Dutch] Chutimaskul,,cannot register. it's always show red tab when click register,Cannot register. it's always show red tab when click register,1,0,2023-04-12 20:48:10,Negatif
Google Play,4998b7ff-d64b-48e1-92da-18868938d59c,Anisa Risatyah,,Good place to rest.,Good place to rest.,5,0,2023-04-10 11:48:59,Positif
Google Play,dd8d7f3f-2f90-419e-8b98-41cf4ac3d453,Dwi Hartati,,pemandangannya lebih di baguskan lagi,the view is even better,4,0,2023-04-10 10:38:58,Negatif
Google Play,462f6df2-49f7-4c10-b6bc-cb6ab9337003,ARDIANSYAH HERNAWAN,,mantap,Excellent,5,0,2023-04-09 12:20:06,Positif
Google Play,3d349709-ae60-4c40-a68f-5fe71e97b3ef,Anastasia Ang,,Super duper amazing place to re-generate your soul ... 💚💚💚,Super duper amazing place to re-generate your soul ... 💚💚💚,5,0,2023-03-07 8:25:47,Positif
Google Play,b9024146-7418-4b2d-98fe-fe00e59fee2e,Tifanny,,Super love ❤️❤️,Super Love ❤️❤️,5,0,2023-03-02 14:53:16,Positif
Google Play,7f627f0d-81f4-4239-87b5-073fbdc0c138,kisworo cm,,bobobox bandara suta the best,Bobobox Suta Airport The Best,5,0,2023-02-24 5:02:08,Positif
Google Play,7137b077-e7e4-43de-895a-44ff1ba9352b,Valentino Karol Dien,,the best 👍💯 ngga pake ribet.,The best 👍💯 doesn't use complicated.,5,0,2023-02-22 11:44:37,Positif
Google Play,26d6b354-2f29-45b7-b2f9-55cf75fe6f77,Abdul Latif,,awesome,Awesome,5,0,2023-02-19 11:47:55,Positif
Google Play,4c47c8d5-8f9e-4ba3-8538-33c21051e718,BAGUS ORBI,,keren,Cool,5,0,2023-02-19 11:24:34,Positif
Google Play,60c42c27-b631-493d-86ab-b165df995f26,Dewi Anjani,,best sih buat heal,best for heal,5,0,2023-02-19 11:09:35,Positif
Google Play,a29435e6-e941-471b-b1d7-923875b09ab7,Martuani Siregar,,"if you want to escape modernity, but still with a modern comfort, this place is recommended. don't forget to take the jeep tour","If you want to escape modernity, but still with a modern comfort, this place is recommended. don't forget to take the jeep tour",5,2,2023-02-11 12:02:09,Positif
Google Play,f3afde3e-25b3-419f-8813-7155df35aba9,fredy chandra,,simple dan bersih,simple and clean,5,0,2023-02-09 12:06:26,Positif
Google Play,19f93880-18b2-41cb-a84e-924c74262f67,Ahmat Yusuf,,Nginstal ini karena pengen traveling tapi ternyata Kota yg ada bobobox nya masih terbatas 🥱,Installing this because I want to travel but it turns out that the city that has a bobobox is still limited 🥱,3,0,2023-02-08 20:08:12,Netral
Google Play,78beb890-145a-41b2-9a37-aa982b0a46c2,Budi Agasi,,Receipt feature needed,Receipt Feature Needed,4,1,2023-01-29 14:49:28,Negatif
Google Play,363c35de-7934-4f0c-9a6f-08b3b2d1fdde,Syifa Sabrina,,sekarang aplikasinya ga bisa dipake ganti2 lampu ya. ga asyik :(,Now the application can't be used to replace the lights. not fun :(,2,0,2023-01-24 7:15:04,Negatif
Google Play,5577737f-66de-4b13-af7b-7701f11eb656,jarwoso jarwoso,,mantab,mantab,4,0,2023-01-19 11:41:35,Negatif
Google Play,dcdc3cda-e7b2-48ca-b3e0-2457f5178284,Fatwa “Awwan” SN,,nyaman dan bersih,comfortable and clean,5,0,2023-01-17 10:17:23,Positif
Google Play,b21186a5-fb1f-4bae-8fda-ee68dac9683b,Willy W,,Mau booking hotel pakai apps ini dari tadi eror. Kode OTP tidak dikirim2 padahal uda nunggu & coba berkali2,Want to book a hotel using this apps from earlier error. OTP code is not sent even though I have been waiting & try many times,1,0,2023-01-14 13:52:12,Negatif
Google Play,ec7aa543-a252-433d-ba66-f36e857a197e,Sri Yuliyani,,kereen,Kereen,5,0,2023-01-07 11:11:51,Positif
Google Play,29070435-1fe8-44fe-8fe5-46982b061318,Poernomo Gunawan,,"mobilitas lokasi agak sulit, pelayanan lama, hrg tsk sebanding dgn fasilitas & kenyamanan","Location mobility is rather difficult, old service, hrg tsk is comparable to facilities & comfort",2,0,2023-01-05 9:10:37,Negatif
Google Play,d1777fbf-c91f-4d47-873e-41ce5b3ac3c6,Edwin Wicaksono,,No refund and reschedule,No refund and reschedule,1,0,2023-01-01 9:22:25,Negatif
Google Play,15724c8c-309b-46cb-83b3-d1fbdcce7d67,Frida Haryani,,"When pick the location, better show the icon picture of the cabin so people remember the place. when order the type of the room, we also dont know what the difference since there is no picture.","When picking the location, better show the icon picture of the cabin so people remember the place. When order the type of the room, we also dont know what the difference since there is no picture.",4,2,2023-01-01 8:31:20,Negatif
Google Play,5df0d0e2-19bd-47a9-8c55-22a5c261f695,Steven Theogoi,,Love this app & bobo hotel concept!,Love This App & Bobo Hotel Concept!,5,0,2022-12-30 12:38:25,Positif
Google Play,c40c3f07-5e47-4a71-9a32-a5c880badb76,Rengganis Nurul Aini H,,Bagusss,Goods,5,0,2022-12-26 11:45:31,Positif
Google Play,0d34fa27-1cff-4fc6-a503-a227280f8bc2,Sekar Tanjung,,Easy to use app super fast,Easy to Use App Super Fast,5,0,2022-12-25 10:47:15,Positif
Google Play,df6ea977-de5e-4784-a09b-23d52aace2b5,Arnold P,,"I didn't receive any OTP (verify by phone) for my first time booking. please fix this issue, I've lost appeal to book your service","I Didn't Receive Any OTP (Verify by Phone) for My First Time Booking. Please fix this issue, I've lost appeal to book your service",1,1,2022-12-21 23:16:01,Negatif
Google Play,050642fc-f626-4f7f-8338-efe326b7c64b,FongYong Wijaya,,"Love the ambience. Clean room, good service. We will be back for sure!","Love the ambience. Clean room, good service. We will be back for sure!",5,0,2022-12-19 8:48:40,Positif
Google Play,5cacc75f-4101-4739-857a-f4bda7de2785,Eko Priyo Hadiwibowo,,- Beberapa pesanan Makan tidak sesuai dengan yang dipesan - Alat makan tidak sebanyak jumlah orang (setidaknya sebanyak jumlah makanan atau jumlah orang di kamar tersebut) - Makanan menggunakan plastik atau styrofoam,- Some food orders are not in accordance with what is ordered - Not as much as the number of people (at least as much as the number of foods or the number of people in the room) - Food using plastic or styrofoam,3,0,2022-12-17 12:41:22,Netral
Google Play,82856204-0662-466b-93b1-d78ee5726751,Mochammad Rizqi Adiguna,,"Clean, nice room and very hospitality","Clean, Nice Room and Very Hospitality",5,0,2022-12-14 11:30:37,Positif
Google Play,3a6f6a40-2a9d-4b0e-b2b4-202d8bf86147,Tabligh Wuryanto,,"Please fix verification data on my phone, permission problem","Please fix verification data on my phone, permission problem",1,0,2022-12-03 19:10:10,Negatif
Google Play,dcb9cb39-0154-452d-a585-860094d02f85,Luthfi mnabil,,All access are controlled by QR Code. That's nice but maybe if you can provide other options like NFC/RFID card it would be great. Somehow if battery died or you need to take your phone to bathroom is a little bit annoying,All access are controlled by QR Code. That is nice but may you can provide other options like nfc/rfid card it would be great. Somehow if battery diad or you need to take your phone to bathroom is a little bit annoying,5,4,2022-11-30 10:07:59,Positif
Google Play,0d8afe97-2926-41ba-b5a2-c41606bda868,rani fadi,,Aplikasinya berat gitu..loading tedus kalo buka apa2,The application is heavy ... uploading the tedus if you open anything,3,0,2022-11-28 12:40:00,Netral
Google Play,70507a6f-ad90-40cf-bef7-7efc991c7505,Wandha Yunita,,simpel dan nyaman.,simple and comfortable.,5,0,2022-11-24 20:46:38,Positif
Google Play,cb00d16b-4fc0-4acf-8a37-22495f1cdddd,untung priyono,,good,Good,5,0,2022-11-22 11:35:30,Positif
Google Play,9396a8d2-9ac1-4bc4-81e7-f69992a9877d,Gunawan Wicaksono,,"Great apps for booking, and also function as substitution for room/capsule key. In short, if you want to book a capsule (this is a capsule hotel, although at tanah abang branch there are capsule room for two people) you must use this apps.","Great Apps for Booking, and Also Function as Substitution for Room/Capsule Key. In Short, if you want to book a capsule (this is a capsule hotel, althoul at Tanah Abang Branch there are capsule room for two people) you must use this apps.",5,2,2022-11-22 10:55:14,Positif
Google Play,d9d64a6d-6bfe-4c1f-9558-ff581001f099,Nurfajar Tetuko,,Notifications about promos coming every half hour is such a spam!!,Notifications about promos coming every half hour is such a spam !!,3,1,2022-11-21 15:03:12,Netral
Google Play,a820f31f-dc1f-4fef-8691-79db76bd5427,multhiarthaguna -,,"Bad toilet bidet, just install shower next to the toilet will be better, very bad bottom pod experience, the upper pod are used by couple who are awful loud (probably guy and guy couple), bad placement by FO, initially I cant check in froom apps, the apps mention that my room is still used, dirty bed sheet which smell like hasnt washed from previous guest, human hair everywhere, need to be vacummed, no official parking, too many useles employee just walkin chattin,bed sheet layin on floor aisle","Bad Toilet Bidet, Just Install Shower Next To The Toilet Will Be Better, Very Bad Bottom Pod Experience, The Upper Pod Are Used By Couple Who Are Awful Loud (Probably Guy and Guy Couple), Bad Placement by FO, Initially I Cant Check In FROOM APPS, The Apps Mention that My Room is Still Used, Dirty Bed Sheet Which Smell Like Washed From Previous Guest, Human Hair Everywhere, Need to Be Vacummed, No Official Parking, Too Many Useles Employee Just Walkin Chattin, Bed Sheet Layin On Floor Aisle",1,3,2022-11-18 12:15:01,Negatif
Google Play,76ed6c92-76b7-42e7-a33e-a731846a7699,fona sunaria,,"fasilitasnya nyaman, pegawainya ramah","the facilities are comfortable, the employees are friendly",5,0,2022-11-17 10:09:23,Positif
Google Play,c1a1d5dd-2ba4-46ed-ae5f-54ce6b4feae3,Julian Bramanda Putra,,Paling worth it,Most worth it,5,0,2022-11-17 8:44:51,Positif
Google Play,8ce9f61b-694c-4bef-90f9-d287f4d9db8e,Sasha Syaukany,,Kurang remot ac pribadi di kamar,Lack of private AC remote in the room,5,0,2022-11-12 11:14:11,Positif
Google Play,72361277-fe3f-4484-b7c4-aeab2ed1254d,leek white,,"Cekin harus pukul 14.00, wifi mati....","Cekin must be at 14.00, WiFi dies ....",1,0,2022-11-10 13:43:24,Negatif
Google Play,b0768f7d-43b3-44a3-a0c5-883a9112de0a,Farhan Syuvi Elfatan,,"Saya tidak bisa verifikasi nomor handphone, kode yang dikirimkan sangat lama dan saya sudah meminta kode kembali karena waktu tunggu telah habis, namun tetap saja kode yang diminta untuk verifikasi tidak kunjung dikirim jua. Terima kasih.","I cannot verify the cellphone number, the code sent is very long and I have asked for the code back because the waiting time has run out, but still the code requested for verification is not sent. Thank You.",1,0,2022-11-09 13:45:24,Negatif
Google Play,f3a53e96-f41c-424a-9a2a-0c08fa4c27d1,Rizky Feryansyah,,will come back when visiting jogja,will come back when visiting jogja,5,0,2022-11-03 11:24:18,Positif
Google Play,d15b3c37-4c2d-4f21-a4c3-60416a4b1d4b,Fajar Adhi Utama,,Tempat yang nyaman banget. Nginep disini pas lagi pengen suasana baru. Harga juga ramah di kantong,A very comfortable place. Staying here when I want a new atmosphere. Prices are also friendly in the bag,5,0,2022-11-02 10:56:02,Positif
Google Play,3bfb635f-7191-4bb6-9baf-b7c64beafec6,Dzikra Yaza Pratama,,"Suasana yang nyaman, kamar modern","Comfortable atmosphere, modern room",5,0,2022-11-02 10:02:56,Positif
Google Play,bafdd3d5-3375-40d4-8690-cc9f539caa79,Vinsencia Devina,,worth it,worth it,5,0,2022-11-01 8:51:11,Positif
Google Play,bd1746da-9310-461d-986e-623435b5e543,Abby Lee,,superr cozy,Superr Cozy,5,0,2022-10-28 10:22:43,Positif
Google Play,35ed0798-3778-457e-be91-349eafd6362e,Joan Anantoile,,bobobox kebayoran have a good staff and good environment,Bobobox Kebayoran Have a Good Staff and Good Environment,5,0,2022-10-26 11:36:14,Positif
Google Play,e42e5d64-f0a0-4327-8b33-8c2410d2f0b2,Radhi Aufar,,fitur chat dan order fnb http 401,Chat feature and order FNB http 401,3,0,2022-10-24 10:59:52,Netral
Google Play,5acfe23d-fea9-4d50-94aa-d04afe6c1c75,Resa Herlambang,,"untuk pembenahan,,,, lalat nya banyak, all in bagus bgt","for improvement ,,,, many flies, all in good",4,0,2022-10-24 9:28:13,Negatif
Google Play,0bccf977-62c8-490c-8314-5ac96ae206d5,siti nur liyana borhan,,nice view. will come soon,nice view. will come soon,5,0,2022-10-21 9:22:35,Positif
Google Play,82f0810a-61cb-45c9-b828-c9076d361fd9,Sheva Sudra,,Wow wow wow,Wow Wow wow,5,0,2022-10-20 11:03:33,Positif
Google Play,887b880a-6817-436d-939a-81951db4bce8,panca zumbon,,Experience nya memuaskan,The experience is satisfying,5,0,2022-10-20 7:04:22,Positif
Google Play,9dabad04-fba6-4780-8938-b0176f1b3194,Kartika W,,puas,satisfied,5,0,2022-10-18 10:17:40,Positif
Google Play,568177b7-e9fd-4e70-a958-4ce9c69b7366,kerta griyadi,,siang agak silau,It's a bit glare,4,0,2022-10-17 9:26:11,Negatif
Google Play,50f2997c-dd58-48b3-a306-76a2ca986f79,Jerrem,,very hard to delete your data from this app. terms and conditions only provided in one language for international travellers. the app also continues to spam you with messages in bahasa even though you have deleted your account.,Very hard to delete your data from this app. Terms and conditions only provided in one language for international travelers. The app also continues to spam you with messages in language even though you have deleted your account.,1,1,2022-10-13 12:56:22,Negatif
Google Play,e72d2c0e-9c72-4f58-8104-26fe604e0c5e,Hendrawan STB,,"this is wonderful experience, great job bobocabin 👌","This is Wonderful Experience, Great Job Bobocabin 👌",5,0,2022-10-11 8:12:41,Positif
Google Play,17393ce4-3571-42a2-93d1-1863905b6ce2,rajiv gsquad,,amazing cute little cabin with brilliant staff kudos I would come here again,Amazing Cute Little Cabin with Brilliant Staff Kudos I would come here again,5,1,2022-10-04 11:01:58,Positif
Google Play,f5008d4f-784b-42cf-82c3-41d9d152e0af,Diva Puspita Sari,,amazing,Amazing,5,0,2022-10-02 10:54:34,Positif
Google Play,1adc38c1-b478-458b-89a6-a306272298ee,Dovin Ridho Rikfara,,Recommended!!!!,Recommended !!!!,5,0,2022-10-01 13:56:09,Positif
Google Play,7fec68fb-002f-4338-8ad3-d10b1aac2b53,Anies Anggara,,will be back here again,will be back here again,5,0,2022-10-01 12:15:53,Positif
Google Play,f8b69b5f-2692-4573-b80c-5c8366745853,Keisha Deandra Christie,,super smart dan futuristik. love it so much!,Super Smart and Futuristic. Love it so much!,5,0,2022-09-30 8:47:39,Positif
Google Play,0a4ce478-f947-4636-bc83-ba2286aee715,Ria Lestari,,"Gunung Mas : Kabin bisa muat 6 org (kami isi 4 sih), tapi kapasitas pemanas air hanya utk 2 dewasa, setelah itu perlu tunggu 90 menit utk pemanasan berikutnya. Seharusnya kapasitas pemanas air disesuaikan dgn kapasitas kabin, krn ini daerag dingin, otomatis semua org mau mandi air hangat. Shower mandi airnya kecil, dan drain hole kamar mandi airnya super slow jd menggenang lama, payah.","Gunung Mas: Cabin can fit 6 people (we fill 4 anyway), but the water heater capacity is only for 2 adults, after that we need to wait 90 minutes for the next heating. The water heater capacity should be adjusted to the capacity of the cabin, because this is cold, automatically all people want to take a warm bath. The shower of the shower is small, and drain the bathroom hole is super slow water so long, bad.",4,0,2022-09-28 7:22:36,Negatif
