nps_score,checkin_date,checkout_date,created_at,source,order_id,hotel_name,pod_type,nps_review,nps_review_en,score_classification,hotel_type,preprocessed_review_en,Sentiment,Compound Score
10,2023-06-10 0:00:00,2023-06-11 0:00:00,2023-06-11 5:52:51,Android,1.0121686368580944e+16,Bobobox Juanda Jakarta,Sky Double,Great,Great,Positif,Bobobox,great,Positive,0.6249
10,2023-06-10 0:00:00,2023-06-11 0:00:00,2023-06-11 5:36:09,Android,1.0171685778173908e+16,Bobocabin Ranca Upas,Standard Cabin,"Terima kasih banyak semuanya kamar bersih dan wangi, next time kembali lagi kesini. Terima kasih juga buat kang Asep yang handle check in pelayanannya mantap banget. Terima kasih banyak semuanya sangat membantu banget. See you","Thank you very much, all the rooms are clean and fragrant, next time come back here. Thank you also to Kang Asep who handle check in the service is very great. Thank you very much everything is very helpful. See you",Positif,Bobocabin,thank much room clean fragrant next time come back thank also kang asep handl check servic great thank much everyth help see,Positive,0.9432
10,2023-06-10 0:00:00,2023-06-11 0:00:00,2023-06-11 5:33:33,Android,1.0171685776728614e+16,Bobocabin Ranca Upas,Standard Cabin,"Terima kasih banyak atas pelayanannya, terutama kang Asep pas check in dibantu dijelaskan fitur"" nya, soalnya baru pertama kali stay di bobocabin, dan terima kasih juga atas pelayanan kang Dede sangat membantu kami, kamarnya wangi dan bersih, next time saya staycation disini lagi. Terima kasih banyak","Thank you very much for the service, especially Kang Asep Pas Check In assisted by the features ""The feature is explained, because it's the first time staying at Bobocabin, and thank you also for Kang Dede's service really helps us, the room is fragrant and clean, next time I stay here again. Thank you very much",Positif,Bobocabin,thank much servic especi kang asep pa check assist featur featur explain first time stay bobocabin thank also kang dede servic realli help us room fragrant clean next time stay thank much,Positive,0.8979
10,2023-06-10 0:00:00,2023-06-11 0:00:00,2023-06-11 5:24:30,Android,1.0091686148065364e+16,Bobobox Kota Lama,Sky Single,So comfort and modern,So comfort and modern,Positif,Bobobox,comfort modern,Positive,0.3612
9,2023-06-10 0:00:00,2023-06-11 0:00:00,2023-06-11 5:15:45,iOS,1.0241685969031976e+16,Bobocabin Puncak Gunung Mas,Deluxe Cabin,Air shower kecil,Small shower water,Positif,Bobocabin,small shower water,Neutral,0.0
8,2023-06-10 0:00:00,2023-06-11 0:00:00,2023-06-11 5:10:04,iOS,1.0191685806438116e+16,Bobocabin Cikole,Standard Cabin,"Airnya suka mati, mungkin bisa diinfokan kalau mau mati ","The water likes to die, maybe it can be informed if you want to die",Positif,Bobocabin,water like die mayb inform want die,Negative,-0.7184
7,2023-06-10 0:00:00,2023-06-11 0:00:00,2023-06-11 5:09:46,Android,1.027168613863864e+16,Bobocabin Padusan,Deluxe Cabin,nice and unique experience with pine forest ambience. however need to improve on the slow wifi and coziness of pillow and mattress,nice and unique experience with pine forest ambience. however need to improve on the slow wifi and coziness of pillow and mattress,Positif,Bobocabin,nice uniqu experi pine forest ambienc howev need improv slow wifi cozi pillow mattress,Positive,0.4215
8,2023-06-10 0:00:00,2023-06-11 0:00:00,2023-06-11 5:07:52,Android,1.027168630001886e+16,Bobocabin Padusan,Deluxe Cabin,Bagus hanya saja akses jalan di bobocabin yg bergeronjal. Dan di depan teras yg material nya batu sehingga sakit di kaki ketika berjalan. Kebetulan saya tidak memakai sandal yg empuk.,It's good it's just that the road access in Bobocabin is surging. And in front of the terrace which is a stone so it hurts in the foot when walking. Incidentally I don't wear soft sandals.,Positif,Bobocabin,good road access bobocabin surg front terrac stone hurt foot walk incident wear soft sandal,Negative,-0.128
9,2023-06-10 0:00:00,2023-06-11 0:00:00,2023-06-11 5:05:51,iOS,1.024168593079896e+16,Bobocabin Puncak Gunung Mas,Deluxe Cabin,"Sayang kamar mandinya ada bau kurang sedap, sisanya oke..","Unfortunately the bathroom has a bad odor, the rest is okay ..",Positif,Bobocabin,unfortun bathroom bad odor rest okay,Negative,-0.3818
7,2023-06-10 0:00:00,2023-06-11 0:00:00,2023-06-11 5:05:23,Android,1.0111686417577254e+16,Bobobox Tanah Abang,Sky Double,Nyaman bersih rapi,Comfortable clean neatly,Positif,Bobobox,comfort clean neatli,Positive,0.6369
6,2023-06-10 0:00:00,2023-06-11 0:00:00,2023-06-11 5:03:19,iOS,1.021168589816404e+16,Bobobox Alun-Alun Malang,Sky Double,there a lot of stain on bedsheet,there a lot of stain on bedsheet,Netral,Bobobox,lot stain bedsheet,Neutral,0.0
10,2023-06-10 0:00:00,2023-06-11 0:00:00,2023-06-11 5:01:48,Android,1.0251683022652416e+16,Bobocabin Coban Rondo Malang,Executive Cabin,Best view,Best view,Positif,Bobocabin,best view,Positive,0.6369
10,2023-06-10 0:00:00,2023-06-11 0:00:00,2023-06-11 4:58:44,Android,1.025168631274074e+16,Bobocabin Coban Rondo Malang,Deluxe Cabin With View,The best,The best,Positif,Bobocabin,best,Positive,0.6369
10,2023-06-10 0:00:00,2023-06-11 0:00:00,2023-06-11 4:58:13,Android,1.025168631274074e+16,Bobocabin Coban Rondo Malang,Deluxe Cabin With View,The best,The best,Positif,Bobocabin,best,Positive,0.6369
8,2023-06-10 0:00:00,2023-06-11 0:00:00,2023-06-11 4:57:32,Android,1.0241685595441164e+16,Bobocabin Puncak Gunung Mas,Deluxe Cabin,"Air hangatnya di bykin, jendelanya benerin, sediain galon, speakernya kurang gede suaranya dan tolong sediain tv","The warm water is in Bykin, the window is correct, the gallon, the speakers are not big enough and please provide a TV",Positif,Bobocabin,warm water bykin window correct gallon speaker big enough pleas provid tv,Positive,0.2263
10,2023-06-10 0:00:00,2023-06-11 0:00:00,2023-06-11 4:56:45,Android,1.025168631274074e+16,Bobocabin Coban Rondo Malang,Deluxe Cabin With View,The best,The best,Positif,Bobocabin,best,Positive,0.6369
8,2023-06-10 0:00:00,2023-06-11 0:00:00,2023-06-11 4:54:50,Android,1.0211686064243206e+16,Bobobox Alun-Alun Malang,Sky Single,Tempat yg cukup nyaman dan memberikan pengalaman baru dengan modernisasinya,A place that is quite comfortable and provides new experiences with its modernization,Positif,Bobobox,place quit comfort provid new experi modern,Positive,0.3612
10,2023-06-10 0:00:00,2023-06-11 0:00:00,2023-06-11 4:54:22,Android,1.014168632213434e+16,Bobobox Slamet Riyadi Solo,Sky Double,Seruu,Exclaimed,Positif,Bobobox,exclaim,Neutral,0.0
10,2023-06-10 0:00:00,2023-06-11 0:00:00,2023-06-11 4:52:06,iOS,1.0061686230460124e+16,Bobobox Kebayoran Baru,Earth Single,Nyaman,Comfortable,Positif,Bobobox,comfort,Positive,0.3612
10,2023-06-10 0:00:00,2023-06-11 0:00:00,2023-06-11 4:48:59,Android,1.0261686094149664e+16,Bobocabin Baturraden,Executive Cabin,Mantaabbbbb,Mantaabbbbb,Positif,Bobocabin,mantaabbbbb,Neutral,0.0
8,2023-06-10 0:00:00,2023-06-11 0:00:00,2023-06-11 4:47:42,iOS,1.0241685700259222e+16,Bobocabin Puncak Gunung Mas,Deluxe Cabin,"Kurang luas kamar nyaa,,, tp okelaah","The room is not wide ,,, but okelaah",Positif,Bobocabin,room wide okelaah,Neutral,0.0
9,2023-06-10 0:00:00,2023-06-11 0:00:00,2023-06-11 4:46:43,Android,1.0271686306575588e+16,Bobocabin Padusan,Deluxe Cabin,Thanks all the best,Thanks all the best,Positif,Bobocabin,thank best,Positive,0.7717
10,2023-06-10 0:00:00,2023-06-11 0:00:00,2023-06-11 4:37:39,iOS,1.0061686365801876e+16,Bobobox Kebayoran Baru,Sky Double,Good,Good,Positif,Bobobox,good,Positive,0.4404
8,2023-06-10 0:00:00,2023-06-11 0:00:00,2023-06-11 4:36:59,Android,1.0241685971898952e+16,Bobocabin Puncak Gunung Mas,Deluxe Cabin,Next harga room include dgn breakfast... Asli keren pas wkt mlm dingin banget. Segera buka tempat minum kopi... Caffe.... sukses selalu...,Next the price of room includes with breakfast ... original cool when it's really cold. Immediately open a place to drink coffee ... caffe .... always success ...,Positif,Bobocabin,next price room includ breakfast origin cool realli cold immedi open place drink coffe caff alway success,Positive,0.7184
8,2023-06-10 0:00:00,2023-06-11 0:00:00,2023-06-11 4:35:01,Android,1.035168630796554e+16,Bobocabin Madasari Pangandaran,Executive Cabin,"Untuk cabinnya nyaman, indah, view langsung ke pantai cuman kurang penerangan mulai dari gerbang masuk","For the cabin is comfortable, beautiful, view directly to the beach, just lack lighting starting from the entrance gate",Positif,Bobocabin,cabin comfort beauti view directli beach lack light start entranc gate,Positive,0.0516
10,2023-06-10 0:00:00,2023-06-11 0:00:00,2023-06-11 4:30:18,iOS,1.0031686322389456e+16,Bobobox Dago,Sky Double,As always i choose bobobox ,As always i choose bobobox ,Positif,Bobobox,alway choos bobobox,Neutral,0.0
8,2023-06-10 0:00:00,2023-06-11 0:00:00,2023-06-11 4:29:22,iOS,1.0241684153341492e+16,Bobocabin Puncak Gunung Mas,Deluxe Cabin,"Staycation disini menyenangkan, bbq oke, petugasnya baik dan ramah, view di cabin 4 tidak mengecewakan. Cuma jaringan kurang bagus dan wifi putus nyambung. Selain itu udah oke banget. Kalo pake springbed dan water heaternya bisa tahan lama much better. Sarannya di tempat sampah dikasih plastik biar lebih higienis dan yang bersihin gampang. Next time bisa kesini lagi","Staycation here is fun, BBQ is okay, the officers are good and friendly, the view in Cabin 4 does not disappoint. Only the network is not good and wifi breaks up. Besides that, it's really okay. If you use springbed and the water heater can be durable Much better. The advice is in the trash can be given plastic so that it is more hygienic and cleaning is easy. Next time can come here again",Positif,Bobocabin,staycat fun bbq okay offic good friendli view cabin disappoint network good wifi break besid realli okay use springb water heater durabl much better advic trash given plastic hygien clean easi next time come,Positive,0.93
10,2023-05-18 0:00:00,2023-05-19 0:00:00,2023-06-11 4:29:02,Android,1.008168439515558e+16,Bobobox Kota Tua,Sky Double,Good,Good,Positif,Bobobox,good,Positive,0.4404
10,2023-06-10 0:00:00,2023-06-11 0:00:00,2023-06-11 4:28:42,Android,1.008168624003628e+16,Bobobox Kota Tua,Sky Double,Good,Good,Positif,Bobobox,good,Positive,0.4404
10,2023-06-10 0:00:00,2023-06-11 0:00:00,2023-06-11 4:25:54,iOS,1.00717e+16,Bobobox Alun-Alun Bandung,Sky Double,really enjoy the trip,really enjoy the trip,Positif,Bobobox,realli enjoy trip,Positive,0.4939
10,2023-06-10 0:00:00,2023-06-11 0:00:00,2023-06-11 4:23:11,iOS,1.0091686395493764e+16,Bobobox Kota Lama,Earth Double,"pelayanan ramah, toilet juga bersih, recomend kalo mau nginep di semarang","friendly service, toilet is also clean, recommended if you want to stay in Semarang",Positif,Bobobox,friendli servic toilet also clean recommend want stay semarang,Positive,0.6705
9,2023-06-10 0:00:00,2023-06-11 0:00:00,2023-06-11 4:18:46,iOS,1.024168544291354e+16,Bobocabin Puncak Gunung Mas,Executive Cabin,"Nyaman unutk kamu mager, susannya enak buat healing. Tp yg kurang gak ad kopi sma lemari pendingin aja sii. So far, all good.","Comfortable for you mager, Susan is good for healing. But the lack of coffee is just a high school refrigerator. So far, all good.",Positif,Bobocabin,comfort mager susan good heal lack coffe high school refriger far good,Positive,0.7184
0,2023-06-10 0:00:00,2023-06-11 0:00:00,2023-06-11 3:59:41,iOS,1.0231686380023954e+16,Bobocabin Kintamani ,Deluxe Cabin,"Messed up lighting system, cant off properly. Door lock not working properly. Not worth the price ","Messed up lighting system, cant off properly. Door lock not working properly. Not worth the price ",Negatif,Bobocabin,mess light system cant properli door lock work properli worth price,Negative,-0.1531
10,2023-06-10 0:00:00,2023-06-11 0:00:00,2023-06-11 3:57:06,Android,1.0031686367761648e+16,Bobobox Dago,Earth Double,Ok,Ok,Positif,Bobobox,ok,Positive,0.296
10,2023-06-10 0:00:00,2023-06-11 0:00:00,2023-06-11 3:56:01,iOS,1.000168632179704e+16,Bobobox Paskal,Earth Double,Aku suka lampu dan teknologinya Cuman agak bau aja kamarnya But sofar ok,I like lights and technology Just a little smelling the room But sofar ok,Positif,Bobobox,like light technolog littl smell room sofar ok,Positive,0.5719
7,2023-06-10 0:00:00,2023-06-11 0:00:00,2023-06-11 3:53:51,Android,1.000168640881267e+16,Bobobox Paskal,Sky Double,Bau,Smell,Positif,Bobobox,smell,Neutral,0.0
10,2023-06-10 0:00:00,2023-06-11 0:00:00,2023-06-11 3:52:27,Android,1.0241684050638754e+16,Bobocabin Puncak Gunung Mas,Deluxe Cabin,Perlu di tambahkan sendok untuk nagdum teh di setiap cabin,Need to add a spoon to nagdum tea in each cabin,Positif,Bobocabin,need add spoon nagdum tea cabin,Neutral,0.0
10,2023-06-10 0:00:00,2023-06-11 0:00:00,2023-06-11 3:37:19,Android,1.01317e+16,Bobobox Malioboro,Earth Double,Good service,Good service,Positif,Bobobox,good servic,Positive,0.4404
8,2023-06-09 23:00:00,2023-06-10 23:00:00,2023-06-11 3:33:11,iOS,1.0231686380884864e+16,Bobocabin Kintamani ,Deluxe Cabin Hot Tub,Hot Tub di Cabin no 2 tidak bisa digunakan. Mohon diperbaiki,Hot Tub in Cabin No. 2 cannot be used. Please fix it,Positif,Bobocabin,hot tub cabin cannot use pleas fix,Neutral,0.0
10,2023-06-10 0:00:00,2023-06-11 0:00:00,2023-06-11 3:25:42,iOS,1.0351686280752604e+16,Bobocabin Madasari Pangandaran,Deluxe Cabin,"Love in place,,amazing,,","Love in place,,amazing,,",Positif,Bobocabin,love place amaz,Positive,0.6369
8,2023-06-10 0:00:00,2023-06-11 0:00:00,2023-06-11 3:24:51,iOS,1.0191682503935952e+16,Bobocabin Cikole,Executive Cabin,Bed material is itchy,Bed material is itchy,Positif,Bobocabin,bed materi itchi,Neutral,0.0
9,2023-06-10 0:00:00,2023-06-11 0:00:00,2023-06-11 3:15:39,Android,1.0061686387144816e+16,Bobobox Kebayoran Baru,Sky Double,Tidak diberikan air minum,Not given drinking water,Positif,Bobobox,given drink water,Neutral,0.0
10,2023-06-10 0:00:00,2023-06-11 0:00:00,2023-06-11 2:59:00,iOS,1.0061686405265382e+16,Bobobox Kebayoran Baru,Sky Double,Ok,Ok,Positif,Bobobox,ok,Positive,0.296
8,2023-06-10 0:00:00,2023-06-11 0:00:00,2023-06-11 2:53:46,iOS,1.0141686073019352e+16,Bobobox Slamet Riyadi Solo,Earth Double,"Toilet can be cleaner especially the shower room walls Music in the common area was played loudly until 12am, door of the pods area were open too so it was a bit noisy from inside Thankfully the host was very prompt and turned the music off immediately A bit of time to wait for the hot water  Overall it was a pleasant stay, comfy bed and pillow. Clean pod The whole area smells nice","Toilet can be cleaner especially the shower room walls Music in the common area was played loudly until 12am, door of the pods area were open too so it was a bit noisy from inside Thankfully the host was very prompt and turned the music off immediately A bit of time to wait for the hot water  Overall it was a pleasant stay, comfy bed and pillow. Clean pod The whole area smells nice",Positif,Bobobox,toilet cleaner especi shower room wall music common area play loudli door pod area open bit noisi insid thank host prompt turn music immedi bit time wait hot water overal pleasant stay comfi bed pillow clean pod whole area smell nice,Positive,0.9246
10,2023-06-10 0:00:00,2023-06-11 0:00:00,2023-06-11 2:44:45,Android,1.0121686209816196e+16,Bobobox Juanda Jakarta,Earth Double,Thank you,Thank you,Positif,Bobobox,thank,Positive,0.3612
10,2023-06-10 0:00:00,2023-06-11 0:00:00,2023-06-11 2:39:10,Android,1.0231686361237962e+16,Bobocabin Kintamani ,Deluxe Cabin,Semoga aksesnya diperbaiki. Selebihnya sudah oke banget. Ga ada masalah dengan insects..masih bearable😊,Hopefully the access is improved. The rest is really okay. There is no problem with insects ... still bearable😊,Positif,Bobocabin,hope access improv rest realli okay problem insect still bearabl,Positive,0.2732
9,2023-06-09 0:00:00,2023-06-11 0:00:00,2023-06-11 2:24:28,iOS,1.022168429052116e+16,Bobobox ITC Kuningan,Sky Double,"Bed abit dusty  Toilet is clean Location is good, near to lotte mall Will come back again","Bed abit dusty  Toilet is clean Location is good, near to lotte mall Will come back again",Positif,Bobobox,bed abit dusti toilet clean locat good near lott mall come back,Positive,0.6808
10,2023-06-10 0:00:00,2023-06-11 0:00:00,2023-06-11 2:06:35,Android,1.0061686403384808e+16,Bobobox Kebayoran Baru,Sky Double,Best,Best,Positif,Bobobox,best,Positive,0.6369
10,2023-06-09 0:00:00,2023-06-10 0:00:00,2023-06-11 1:05:24,Android,1.0271686239131178e+16,Bobocabin Padusan,Executive Cabin,Nice facilities,Nice facilities,Positif,Bobocabin,nice facil,Positive,0.4215
8,2023-06-02 0:00:00,2023-06-03 0:00:00,2023-06-10 22:18:21,iOS,1.0041685678068392e+16,Bobobox Pancoran,Earth Double,1. Toiletnya bnyak yg rusak 2. Kasur kurang empuk,1. The toilet is a lot of broken 2. The mattress is less soft,Positif,Bobobox,toilet lot broken mattress less soft,Negative,-0.4767
9,2023-05-27 0:00:00,2023-05-28 0:00:00,2023-06-10 16:01:01,Android,1.0141685174589476e+16,Bobobox Slamet Riyadi Solo,Earth Double,Terimakasih,Thank You,Positif,Bobobox,thank,Positive,0.3612
10,2023-06-02 0:00:00,2023-06-03 0:00:00,2023-06-10 14:36:55,iOS,1.023168459935436e+16,Bobocabin Kintamani ,Deluxe Cabin,nature and chill. recommended staycation @kintamani bali,nature and chill. recommended staycation @kintamani bali,Positif,Bobocabin,natur chill recommend staycat kintamani bali,Positive,0.3612
10,2023-06-09 0:00:00,2023-06-10 0:00:00,2023-06-10 12:51:47,Android,1.0171685784999472e+16,Bobocabin Ranca Upas,Standard Cabin,"Good, nyaman","Good, comfortable",Positif,Bobocabin,good comfort,Positive,0.6597
10,2023-06-09 0:00:00,2023-06-10 0:00:00,2023-06-10 10:38:19,Android,1.0331686285468138e+16,Bobocabin Ubud,Deluxe Cabin,Semuananya keren,All of them are cool,Positif,Bobocabin,cool,Positive,0.3182
10,2023-06-09 0:00:00,2023-06-10 0:00:00,2023-06-10 9:56:16,iOS,1.0331686272080368e+16,Bobocabin Ubud,Executive Cabin,"Swift response, clean, and comfort","Swift response, clean, and comfort",Positif,Bobocabin,swift respons clean comfort,Positive,0.7184
9,2023-06-09 0:00:00,2023-06-10 0:00:00,2023-06-10 9:14:43,iOS,1.000168629765352e+16,Bobobox Paskal,Earth Double,"first time nyoba bobobox ini. cocok buat istirahat sebentar, cm agak gak nyaman aja sama yg tidur diatas karena kalau gerak bunyi hihi so far good","First time tried this Bobobox. suitable for a short break, cm is a bit uncomfortable with the one who sleeps above because if the sound hihi so far good",Positif,Bobobox,first time tri bobobox suitabl short break cm bit uncomfort one sleep sound hihi far good,Positive,0.4404
7,2023-05-10 0:00:00,2023-05-11 0:00:00,2023-06-10 7:58:37,iOS,1.0041683702934908e+16,Bobobox Pancoran,Earth Double,Tolong ya toilet lakilaki nya diperbaiki. Masa cmn 1 yang bisa dipake :(,Please improve the toilet toilet. CMN 1 period that can be used :(,Positif,Bobobox,pleas improv toilet toilet cmn period use,Neutral,0.0
10,2023-06-09 0:00:00,2023-06-10 0:00:00,2023-06-10 6:41:19,iOS,1.0331686272080368e+16,Bobocabin Ubud,Executive Cabin,Pelayanan responsif,Responsive service,Positif,Bobocabin,respons servic,Neutral,0.0
9,2023-06-09 0:00:00,2023-06-10 0:00:00,2023-06-10 5:50:59,Android,1.0121686274127748e+16,Bobobox Juanda Jakarta,Sky Double,"Mantapp pelayanannya oke, extend sampe seminggu bisa ganti kamar klo sudah kotor. Next ada dinas luar lagi bakal pake bobobox juanda 👍🏻","Mantapp the service is okay, extend until a week can change the room if it's dirty. Next, there is an outside service, you will use Bobobox Juanda 👍🏻",Positif,Bobobox,mantapp servic okay extend week chang room dirti next outsid servic use bobobox juanda,Positive,0.3818
10,2023-06-09 0:00:00,2023-06-10 0:00:00,2023-06-10 5:31:39,Android,1.0121686215021476e+16,Bobobox Juanda Jakarta,Earth Double,Pelayanan ramah bgt. Kasurnya nyaman bikin betah lama2 di pod 😁😁😁 makanya tiap ke jakarta pasti selalu pilih bobobox juanda. Udah top,"BGT friendly service. The mattress is comfortable to make you feel at home for a long time on the pod 😁😁😁 so every time you go to Jakarta, you always choose Bobobox Juanda. Already top",Positif,Bobobox,bgt friendli servic mattress comfort make feel home long time pod everi time go jakarta alway choos bobobox juanda alreadi top,Positive,0.5106
9,2023-06-09 0:00:00,2023-06-10 0:00:00,2023-06-10 5:05:12,Android,1.0271686212783988e+16,Bobocabin Padusan,Deluxe Cabin,"Good, but stock makanan jangan sampai sold out lagi yaa Terimakasihhhhhhhhhhhhhhh","Good, but food stock do not be sold out again Thank youhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh",Positif,Bobocabin,good food stock sold thank youhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,Positive,0.6597
3,2023-06-09 0:00:00,2023-06-10 0:00:00,2023-06-10 5:01:38,Android,1.0211686312217176e+16,Bobobox Alun-Alun Malang,Sky Double,disuruh bayar charge padahal nodanya bukan kesalahan saya,told to pay charge even though the stain is not my fault,Negatif,Bobobox,told pay charg even though stain fault,Negative,-0.4767
8,2023-06-09 0:00:00,2023-06-10 0:00:00,2023-06-10 4:55:06,iOS,1.0141686212886548e+16,Bobobox Slamet Riyadi Solo,Earth Double,AC nya kurang dingin,The air conditioner is not cold,Positif,Bobobox,air condition cold,Neutral,0.0
10,2023-06-09 0:00:00,2023-06-10 0:00:00,2023-06-10 4:46:23,iOS,1.019168628488987e+16,Bobocabin Cikole,Deluxe Cabin,Everything nice,Everything nice,Positif,Bobocabin,everyth nice,Positive,0.4215
10,2023-06-08 0:00:00,2023-06-10 0:00:00,2023-06-10 4:45:08,Android,1.0221685098404432e+16,Bobobox ITC Kuningan,Sky Single,Reccomend buat yg mau bisnis trip👍 thank's  for stay best exeperince bobobox ITC,Recctern for those who want a business trip. Thank's for staying best Exeperince Bobobox ITC,Positif,Bobobox,recctern want busi trip thank stay best exeperinc bobobox itc,Positive,0.7906
9,2023-06-09 0:00:00,2023-06-10 0:00:00,2023-06-10 4:41:05,iOS,1.0141686217785954e+16,Bobobox Slamet Riyadi Solo,Earth Double,"di bobobox emang ternyaman, bersih bgt semuanya, gercep juga hostnya kalo misal kita need something, cuman sayangnya semalem tidurku kurang nyenyak, soalnya pod atasku berisik, tapi bobobox tetep best","In Bobobox it is really comfortable, it's really clean, the host is also the host if for example we need something, only unfortunately I sleep last night, because the pod on me is noisy, but Bobobox is still the best",Positif,Bobobox,bobobox realli comfort realli clean host also host exampl need someth unfortun sleep last night pod noisi bobobox still best,Positive,0.8555
10,2023-06-09 0:00:00,2023-06-10 0:00:00,2023-06-10 4:41:02,Android,1.0271686215668116e+16,Bobocabin Padusan,Deluxe Cabin,"Tempat nyaman, staff ramah, bersih","Comfortable place, friendly staff, clean",Positif,Bobocabin,comfort place friendli staff clean,Positive,0.6369
10,2023-06-09 0:00:00,2023-06-10 0:00:00,2023-06-10 4:40:13,iOS,1.0111686298020646e+16,Bobobox Tanah Abang,Sky Single,Thankyou,Thankyou,Positif,Bobobox,thankyou,Neutral,0.0
10,2023-06-09 0:00:00,2023-06-10 0:00:00,2023-06-10 4:35:03,Android,1.006168633639141e+16,Bobobox Kebayoran Baru,Sky Double,Goof,Goof,Positif,Bobobox,goof,Neutral,0.0
7,2023-06-09 0:00:00,2023-06-10 0:00:00,2023-06-10 4:32:35,Android,1.0241686270487536e+16,Bobocabin Puncak Gunung Mas,Executive Cabin,"Dicek fungsi fasilitas ruangan, kamar mandi tidak mengunci","Checked the function of the room facilities, the bathroom does not lock",Positif,Bobocabin,check function room facil bathroom lock,Neutral,0.0
10,2023-06-09 0:00:00,2023-06-10 0:00:00,2023-06-10 4:30:30,iOS,1.0271686049679846e+16,Bobocabin Padusan,Deluxe Cabin,"Niceee 9,5/10","Niceee 9,5/10",Positif,Bobocabin,nicee,Neutral,0.0
10,2023-06-09 0:00:00,2023-06-10 0:00:00,2023-06-10 4:28:50,iOS,1.0221686196607772e+16,Bobobox ITC Kuningan,Earth Double,ok,ok,Positif,Bobobox,ok,Positive,0.296
10,2023-06-07 0:00:00,2023-06-10 0:00:00,2023-06-10 4:22:18,iOS,1.0221684545396836e+16,Bobobox ITC Kuningan,Earth Single,ok,ok,Positif,Bobobox,ok,Positive,0.296
